t1_ProductID,ratio,virus_event_count,total_event_count
0374c4,0.33333333333333331,1,3
fec24f,0.8571428571428571,6,7
7acab3,0.10550798616828586,5126,48584
a310bb,0.00946073793755913,10,1057
0cdb7a,0.7142857142857143,10,14
262880,0.26190476190476192,11,42
e47f04,0.1767518098620407,1294,7321
8452da,0.88235294117647056,15,17
26a5d0,0.013888888888888888,15,1080
75f310,0.51428571428571423,18,35
218578,0.27142857142857141,19,70
533133,0.18316195372750643,285,1556
885fab,0.16852635629088111,1314,7797
dd8d4a,0.6166666666666667,37,60
8541a0,0.04519774011299435,56,1239
3ea8c3,0.16075104998764719,3904,24286
d465fc,0.11811343769058752,581,4919
634e6b,0.14092356687898089,2655,18840
c76d58,0.055967133620689655,1662,29696
055649,0.080630236338626982,3224,39985
c105a0,0.15857584342003606,2463,15532
b93794,0.11963365769891242,418,3494
20f8a5,0.099105657237936767,953,9616
