t1_ProductID,ratio,virus_event_count,total_event_count
3ea8c3,0.15475950895552426,769,4969
fec24f,1,2,2
0cdb7a,1,3,3
8452da,1,3,3
a310bb,0.015228426395939087,3,197
75f310,0.66666666666666663,4,6
dd8d4a,0.625,5,8
218578,0.21739130434782608,5,23
885fab,0.15703971119133575,261,1662
7acab3,0.11005550811272417,1031,9368
8541a0,0.035294117647058823,9,255
634e6b,0.13649313649313649,527,3861
c76d58,0.051676933607118412,302,5844
533133,0.18042813455657492,59,327
b93794,0.10930576070901034,74,677
055649,0.07975538285131864,626,7849
d465fc,0.12549800796812749,126,1004
20f8a5,0.088589311506981225,184,2077
c105a0,0.14503816793893129,475,3275
e47f04,0.16020343293070566,252,1573
